Time,Z,Vz
1.22,1220.33270816785,-239.14602890624
1.22,1220.33270816785,-239.14602890624
1.23,1215.91957971558,-239.929750151606
1.24,1211.66031583462,-240.662997245474
1.24,1211.66031583462,-240.662997245474
1.25,1207.57410891437,-241.336901245543
1.26,1203.61964961583,-241.966140273485
1.26,1203.61964961583,-241.966140273485
1.27,1199.76256583041,-242.562417934224
1.28,1196.01190513692,-243.122267064708
1.28,1196.01190513692,-243.122267064708
1.29,1192.36267151046,-243.646519251918
1.3,1188.87488113834,-244.113085246801
1.3,1188.87488113834,-244.113085246801
1.31,1185.46316124297,-244.552608324731
1.32,1182.07119534169,-244.985572334537
1.32,1182.07119534169,-244.985572334537
1.33,1178.84940140089,-245.355470849664
1.34,1175.70622912785,-245.696828117686
1.34,1175.70622912785,-245.696828117686
1.35,1172.60130876108,-246.023631583375
1.36,1169.63382872727,-246.299250822563
1.36,1169.63382872727,-246.299250822563
1.37,1166.70006722966,-246.561271597306
1.38,1163.83995305044,-246.795077794535
1.38,1163.83995305044,-246.795077794535
1.39,1161.1170656951,-246.976084679884
1.4,1158.41913051509,-247.147031488282
1.4,1158.41913051509,-247.147031488282
1.41,1155.89886423481,-247.248917195745
1.42,1153.40643951217,-247.339391459162
1.42,1153.40643951217,-247.339391459162
1.43,1150.96569617128,-247.408975259396
1.44,1148.61518724874,-247.442382679193
1.44,1148.61518724874,-247.442382679193
1.45,1146.28455042755,-247.466747342657
1.46,1144.07084533813,-247.443492635047
1.46,1144.07084533813,-247.443492635047
1.47,1141.90157580478,-247.401796058535
1.48,1139.77441905705,-247.342703256843
1.48,1139.77441905705,-247.342703256843
1.49,1137.76140548122,-247.236432158128
1.5,1135.79473491661,-247.110234330699
1.5,1135.79473491661,-247.110234330699
1.51,1133.91091420066,-246.949284621489
1.52,1132.10661173425,-246.75470639475
1.52,1132.10661173425,-246.75470639475
1.53,1130.31228309611,-246.555290432834
1.54,1128.55851742408,-246.338629674554
1.54,1128.55851742408,-246.338629674554
1.55,1126.85491537638,-246.100344086655
1.56,1125.17532001042,-245.850868546527
1.56,1125.17532001042,-245.850868546527
1.57,1123.59376071878,-245.559199342983
1.58,1122.08156173155,-245.236999381208
1.58,1122.08156173155,-245.236999381208
1.59,1120.6750250815,-244.869369760908
1.6,1119.21776811596,-244.522663800734
1.6,1119.21776811596,-244.522663800734
1.61,1117.86958738806,-244.128149053916
1.62,1116.57150644917,-243.711757793384
1.62,1116.57150644917,-243.711757793384
1.63,1115.3032378672,-243.28189955457
1.64,1114.08057515474,-242.831595434506
1.64,1114.08057515474,-242.831595434506
1.65,1112.88088260202,-242.370659420911
1.66,1111.64849298629,-241.923952431822
1.66,1111.64849298629,-241.923952431822
1.67,1110.52067936184,-241.430770377891
1.68,1109.39300612827,-240.937103855624
