timestamp,minValue,maxValue,mean,stdDev,nSamples
8569932280,9.9099102,13.0434809,11.293025,1.33625472,4
8570932288,9.09090614,12.2807026,10.7000456,1.26088727,5
8571932292,8.25688267,13.0434809,10.3668938,1.74317372,5
8572932296,9.09090614,11.5044231,10.2258873,0.916658878,5
8573932328,9.09090614,11.5044231,10.7035103,1.13776541,4
8574932304,9.09090614,13.0434809,10.6917267,1.57926607,5
8575932308,9.09090614,11.5044231,10.2201138,1.21915412,5
8576932316,9.9099102,12.2807026,11.1023312,1.02024233,4
8577932320,9.9099102,11.5044231,10.7114391,0.563759029,5
8578932324,9.9099102,12.2807026,10.3840685,1.06025052,5
8579932328,8.25688267,12.2807026,10.3752136,1.46327221,5
8580932332,10.7142868,12.2807026,11.5009584,0.639499307,4
8581932340,9.09090614,11.5044231,10.5447903,1.04730248,5
8582932344,9.09090614,11.5044231,10.7056646,0.985345423,5
8583932348,9.09090614,13.0434809,10.6896458,1.70343792,4
8584932352,9.09090614,11.5044231,10.3839149,1.07614005,5
8585932356,9.09090614,12.2807026,10.3811426,1.20707726,5
8586932372,9.09090614,11.5044231,10.5447893,1.04730237,5
8587932364,9.09090614,11.5044231,10.7035103,1.13776541,4
8588932372,9.9099102,12.2807026,10.8666945,0.863790929,5
8589932376,9.09090614,13.7931051,10.8444986,1.78022003,5
8590932380,9.9099102,11.5044231,10.7107267,0.650970161,4
8591932384,9.9099102,12.2807026,10.7058191,0.967902839,5
8592932388,9.09090614,11.5044231,10.3867626,0.917924583,5
8593932392,9.09090614,11.5044231,10.3839149,1.07614005,5
8594932400,9.09090614,11.5044231,10.9010439,1.20675838,4
8595932404,9.9099102,12.2807026,10.8638468,1.03200972,5
8596932408,9.09090614,12.2807026,10.3811426,1.20707726,5
8597932412,9.09090614,11.5044231,10.5059757,1.01424956,4
8598932416,9.9099102,12.2807026,10.8638468,1.03200972,5
8599932420,9.09090614,12.2807026,10.3811426,1.20707726,5
8600932428,9.09090614,11.5044231,10.7056656,0.985345662,5
8601932432,9.9099102,13.0434809,11.293025,1.33625472,4
8602932436,9.09090614,12.2807026,10.5391703,1.30901241,5
8603932440,8.25688267,11.5044231,10.377985,1.35729444,5
8604932444,9.09090614,11.5044231,10.3867626,0.917924523,5
8605932448,9.9099102,12.2807026,10.9047966,0.992556334,4
8606932452,9.9099102,12.2807026,10.8582268,1.29853654,5
8607932460,9.09090614,12.2807026,10.5391703,1.30901229,5
8608932464,9.9099102,12.2807026,10.7037029,1.11762464,4
8609932468,9.09090614,12.2807026,10.7000456,1.26088727,5
8610932472,9.09090614,12.2807026,10.5391703,1.30901241,5
8611932476,9.09090614,11.5044231,10.3867626,0.917924523,5
8612932484,10.7142868,12.2807026,11.3034248,0.750475228,4
8613932484,9.09090614,13.0434809,10.6917267,1.57926607,5
8614932492,8.25688267,11.5044231,10.2199583,1.23373091,5
8615932496,9.9099102,11.5044231,10.7107267,0.650970101,4
8616932500,9.09090614,11.5044231,10.5447903,1.0473026,5
8617932504,9.09090614,12.2807026,10.2173424,1.33572447,5
8618932508,9.09090614,12.2807026,10.5362453,1.43092728,5
8619932512,10.7142868,11.5044231,11.109355,0.456185281,4
8620932520,9.09090614,12.2807026,10.5420179,1.18191183,5
8621932524,9.09090614,13.0434809,10.6945734,1.47526133,5
8622932528,9.9099102,11.5044231,10.9082603,0.7627033,4
8623932532,9.9099102,11.5044231,10.5505638,0.667894363,5
8624932536,9.9099102,11.5044231,10.3896885,0.713890612,5
8625932540,9.09090614,12.2807026,10.5391703,1.30901241,5
8626932548,9.09090614,11.5044231,10.7035103,1.13776541,4
8627932552,9.09090614,12.2807026,10.7000456,1.26088727,5
8628932556,9.09090614,13.0434809,10.6945744,1.47526205,5
8629932560,9.09090614,11.5044231,10.304882,1.03862929,4
8630932564,9.9099102,12.2807026,11.0247221,0.900436819,5
8631932568,9.9099102,11.5044231,10.3896885,0.713890672,5
8632932576,9.09090614,11.5044231,10.5447893,1.04730225,5
8633932580,9.9099102,12.2807026,11.1023312,1.02024233,4
8634932584,9.9099102,12.2807026,10.8582268,1.29853654,5
8635932588,9.09090614,13.0434809,10.3698988,1.63935065,5
