magneticFieldTimestamp,magneticFieldX,magneticFieldY,magneticFieldZ,temperatureTimestamp,temp
8434256840,-0.0405000001,0.45449999,0.407999992,0,43.25
8434267868,-0.0434999987,0.453000009,0.405000001,8434267848,43.25
8434276844,-0.0450000018,0.456,0.403499991,0,43.25
8434287800,-0.0450000018,0.453000009,0.40200001,0,43.25
8434296840,-0.0450000018,0.45449999,0.403499991,0,43.25
8434307796,-0.0434999987,0.457500011,0.409500003,0,43.25
8434316852,-0.0405000001,0.460500002,0.411000013,8434316828,43.25
8434328608,-0.0405000001,0.457500011,0.412499994,0,43.25
8434336844,-0.0419999994,0.450000018,0.407999992,0,43.25
8434347748,-0.0434999987,0.451499999,0.405000001,0,43.25
8434356840,-0.0465000011,0.456,0.406500012,0,43.25
8434367864,-0.0419999994,0.456,0.405000001,8434367844,43.25
8434376844,-0.0375000015,0.453000009,0.405000001,0,43.25
8434387812,-0.0344999991,0.453000009,0.405000001,0,43.25
8434396844,-0.0419999994,0.456,0.406500012,0,43.25
8434407816,-0.0434999987,0.45449999,0.406500012,0,43.25
8434416852,-0.0405000001,0.453000009,0.407999992,8434416832,43.25
8434427812,-0.0419999994,0.451499999,0.406500012,0,43.25
8434436848,-0.0434999987,0.451499999,0.406500012,0,43.25
8434447756,-0.0540000014,0.453000009,0.407999992,0,43.25
8434456840,-0.050999999,0.45449999,0.403499991,0,43.25
8434467864,-0.0450000018,0.456,0.405000001,8434467844,43.125
8434476848,-0.0434999987,0.460500002,0.411000013,0,43.125
8434487804,-0.0390000008,0.456,0.411000013,0,43.125
8434496840,-0.0450000018,0.453000009,0.405000001,0,43.125
8434507800,-0.0480000004,0.451499999,0.406500012,0,43.125
8434516848,-0.0465000011,0.453000009,0.406500012,8434516828,43.25
8434528604,-0.0465000011,0.457500011,0.407999992,0,43.25
8434536844,-0.0480000004,0.457500011,0.407999992,0,43.25
8434547756,-0.0480000004,0.456,0.406500012,0,43.25
8434556840,-0.0465000011,0.45449999,0.409500003,0,43.25
8434567868,-0.0450000018,0.453000009,0.411000013,8434567848,43.25
8434576844,-0.0434999987,0.451499999,0.414000005,0,43.25
8434587808,-0.0375000015,0.453000009,0.411000013,0,43.25
8434596840,-0.0375000015,0.45449999,0.409500003,0,43.25
8434607800,-0.0390000008,0.45449999,0.414000005,0,43.25
8434616852,-0.0450000018,0.456,0.412499994,8434616832,43.25
8434627808,-0.0450000018,0.453000009,0.412499994,0,43.25
8434636844,-0.0405000001,0.456,0.407999992,0,43.25
