timestamp,mslAltitude,aglAltitude,verticalSpeed,x0,x1,x2
8436046856,1137.54504,4.08508301,0.0181085207,88385.0781,-0.194758371,0.444522053
8436066848,1137.55823,4.0982666,0.0243344568,88384.9453,-0.261718422,0.428595752
8436086852,1137.55029,4.09033203,0.0189243834,88385.0234,-0.203532919,0.439066559
8436106848,1137.74048,4.28051758,0.128871411,88383,-1.38599443,0.186389133
8436126856,1137.95984,4.49987793,0.257575125,88380.6328,-2.77012515,-0.109453194
8436146696,1138.20288,4.74291992,0.400837183,88378.0078,-4.31075191,-0.438992828
8436166696,1138.2981,4.83813477,0.454309195,88376.9766,-4.88576317,-0.560863435
8436186700,1138.55969,5.09973145,0.606353641,88374.1875,-6.5207243,-0.911990523
8436206696,1138.53052,5.07055664,0.582749665,88374.5,-6.26690531,-0.852886438
8436226704,1138.3324,4.87243652,0.455814034,88376.6328,-4.90193176,-0.551276147
8436246672,1138.27686,4.81689453,0.417316735,88377.2266,-4.48794699,-0.458107829
8436266672,1138.27429,4.81433105,0.412017167,88377.2422,-4.43095446,-0.443541944
8436286676,1138.12634,4.66638184,0.316535652,88378.8281,-3.40416741,-0.214524165
8436306672,1138.05762,4.59765625,0.269046098,88379.5859,-2.89346337,-0.100157261
8436326680,1138.02856,4.56860352,0.248175323,88379.8906,-2.66901565,-0.0496579632
8436346852,1137.91223,4.45227051,0.172688991,88381.125,-1.85721469,0.13234359
8436366852,1137.88843,4.4284668,0.154427841,88381.3906,-1.66082585,0.175901949
8436386856,1137.86731,4.40734863,0.138533324,88381.625,-1.48988819,0.213692099
8436406848,1137.74048,4.28051758,0.0556603931,88382.9844,-0.598619878,0.414688438
8436426856,1137.72729,4.26733398,0.0450086333,88383.1328,-0.484062314,0.438860834
8436446700,1137.72998,4.27001953,0.0462410189,88383.0938,-0.497316271,0.433830351
8436466700,1137.64539,4.1854248,-0.00925591867,88383.9922,0.099547036,0.568633616
8436486704,1137.67969,4.21972656,0.0104199089,88383.6484,-0.112065367,0.517342031
8436506700,1137.70618,4.24621582,0.0268569905,88383.3594,-0.288844228,0.474144191
8436526708,1137.62158,4.16162109,-0.0304210987,88384.2812,0.327178597,0.614658475
8436546676,1137.70349,4.24353027,0.0240475591,88383.3828,-0.258629113,0.475617647
8436566672,1137.70618,4.24621582,0.0242172275,88383.3594,-0.26045382,0.472973108
8436586676,1137.59521,4.13525391,-0.0513847657,88384.5625,0.552644074,0.66106391
8436606676,1137.58984,4.12988281,-0.0543713979,88384.6016,0.584765494,0.665502071
8436626680,1137.5741,4.11413574,-0.0657348111,88384.7812,0.706980407,0.691158533
8436646852,1137.49475,4.03479004,-0.118754826,88385.625,1.27722263,0.822661757
8436666856,1137.51587,4.0559082,-0.104449704,88385.3984,1.12336695,0.782284737
8436686856,1137.50793,4.04797363,-0.110797152,88385.5,1.19163561,0.794799209
8436706852,1137.64014,4.18017578,-0.0195883419,88384.0547,0.210671976,0.557012022
8436726856,1137.87524,4.4152832,0.138710231,88381.5469,-1.49178982,0.147034451
8436746700,1138.13428,4.67431641,0.313515633,88378.7578,-3.3716867,-0.304756135
8436766700,1138.27161,4.81164551,0.40393132,88377.2734,-4.34399843,-0.537271559
8436786700,1138.5094,5.04943848,0.562866569,88374.7188,-6.05309391,-0.947132528
8436806700,1138.41431,4.9543457,0.491092324,88375.7422,-5.28128004,-0.755766809
8436826708,1138.21082,4.75085449,0.344586521,88377.9297,-3.70580888,-0.369782239
8436846676,1138.16333,4.70336914,0.308184743,88378.4375,-3.31434608,-0.272730529
8436866676,1138.09192,4.63195801,0.254511923,88379.2109,-2.73714614,-0.130580276
8436886676,1137.92554,4.46557617,0.13627784,88380.9844,-1.46562243,0.181082651
8436906676,1137.86731,4.40734863,0.0918776244,88381.6328,-0.988118947,0.297295421
