pressureTimestamp,pressure
8436656948,88383.0078,
8436667984,88397.5,
8436676944,88386.2344,
8436687856,88367.4375,
8436696944,88370.1953,
8436707908,88358.6641,
8436716956,88357.8203,
8436728748,88366.2969,
8436736952,88352.7969,
8436747916,88346.2969,
8436756948,88364.0078,
8436767972,88352.4688,
8436776948,88351.4844,
8436787912,88397.0234,
8436796944,88386.5156,
8436807848,88380.7812,
8436816956,88399.5234,
8436827908,88386.8516,
8436836952,88383.8281,
8436847904,88395.75,
8436856944,88387.0625,
8436867972,88384.1328,
8436876948,88398.0859,
8436887916,88387.5938,
8436896944,88387.9688,
8436907856,88397.1016,
8436916956,88387.2812,
8436928804,88382.0781,
8436936956,88384.0938,
8436947860,88353.9141,
8436956944,88363.2266,
8436967972,88383.0391,
8436976952,88380.9766,
8436987912,88365.125,
8436996944,88398.2891,
8437007848,88386.5,
8437016956,88385.0625,
8437027912,88395.5781,
8437036952,88382.125,
8437047912,88374.9531,
8437056948,88399.5781,
8437067972,88387.9062,
8437076944,88386.1719,
8437087916,88397.4609,
8437096948,88388.3516,
8437107904,88381.3906,
8437116956,88397.375,
8437128752,88386.5781,
8437136952,88379.9609,
8437147856,88394.75,
8437156948,88386.1094,
8437167980,88377.5781,
8437176952,88388.9766,
8437187952,88380.5781,
8437196952,88376.4219,
8437207908,88386.6328,
8437216956,88380.3906,
8437227852,88373.0156,
8437236956,88389.1016,
8437247916,88375.6406,
8437256948,88375.8828,
8437267972,88392.375,
8437276948,88384.4453,
8437287916,88368.3359,
8437296952,88370.9531,
8437307912,88358.7891,
8437316956,88357.8203,
8437328748,88368.2188,
8437336952,88356.2812,
8437347856,88348.4922,
8437356948,88369.9219,
8437367976,88358.4531,
8437376948,88355.7969,
8437387916,88396.9453,
8437396948,88385.6562,
8437407904,88378.0781,
8437416956,88396.8359,
8437427908,88387.4219,
8437436956,88384.8047,
8437447868,88390.2578,
8437456948,88380.3047,
8437467976,88371.1172,
8437476952,88380.1484,
8437487916,88395.8359,
8437496948,88399.0469,
8437507912,88388.3047,
8437516960,88386.9688,
8437528752,88388.3047,
8437536952,88383.0078,
8437547860,88379.3594,
8437556948,88396.3047,
8437567976,88387.8203,
8437576948,88378.5391,
8437587916,88372.3828,
