timestamp,estimatedMass,estimatedApogee,detectedShutdowns,state
8645727812,28.9286232,110.365395,0,4
8645747808,28.9286232,109.458267,0,4
8645767784,28.9286232,108.96376,0,4
8645787808,28.9286232,109.154953,0,4
8645807784,28.9286232,108.994881,0,4
8645827792,28.9286232,108.985794,0,4
8645847652,28.9286232,108.985794,0,4
8645867652,28.9286232,109.523003,0,4
8645887656,28.9286232,109.033997,0,4
8645907656,28.9286232,109.704102,0,4
8645927660,28.9286232,110.702263,0,4
8645947812,28.9286232,109.254868,0,4
8645967804,28.9286232,111.705635,0,4
8645987812,28.9286232,110.947525,0,4
8646007804,28.9286232,111.300285,0,4
8646027812,28.9286232,111.897552,0,4
8646047788,28.9286232,110.189934,0,4
8646067784,28.9286232,110.527054,0,4
8646087788,28.9286232,109.957222,0,4
8646107784,28.9286232,107.928925,0,4
8646127788,28.9286232,107.583069,0,4
8646147656,28.9286232,107.583069,0,4
8646167656,28.9286232,108.404503,0,4
8646187656,28.9286232,107.527168,0,4
8646207656,28.9286232,107.365532,0,4
8646227664,28.9286232,109.375946,0,4
8646247808,28.9286232,106.412956,0,4
8646267804,28.9286232,105.936775,0,4
8646287812,28.9286232,105.912697,0,4
8646307804,28.9286232,105.909462,0,4
8646327812,28.9286232,106.531082,0,4
8646347788,28.9286232,105.705437,0,4
8646367788,28.9286232,105.719254,0,4
8646387792,28.9286232,105.925591,0,4
8646407784,28.9286232,105.311394,0,4
8646427808,28.9286232,105.169121,0,4
8646447660,28.9286232,105.169121,0,4
8646467660,28.9286232,105.279099,0,4
8646487660,28.9286232,104.635208,0,4
8646507656,28.9286232,104.569191,0,4
8646527668,28.9286232,105.288033,0,4
8646547812,28.9286232,104.483101,0,4
8646567808,28.9286232,106.434273,0,4
8646587812,28.9286232,105.213661,0,4
8646607804,28.9286232,104.955391,0,4
8646627812,28.9286232,106.342644,0,4
8646647792,28.9286232,105.201729,0,4
8646667788,28.9286232,105.272072,0,4
8646687792,28.9286232,104.845543,0,4
8646707784,28.9286232,103.661163,0,4
8646727792,28.9286232,103.73201,0,4
8646747660,28.9286232,103.73201,0,4
8646767660,28.9286232,103.823807,0,4
8646787660,28.9286232,103.317116,0,4
8646807660,28.9286232,103.327492,0,4
8646827668,28.9286232,104.958153,0,4
8646847808,28.9286232,105.354576,0,4
8646867808,28.9286232,104.082855,0,4
8646887812,28.9286232,105.536087,0,4
8646907808,28.9286232,103.981613,0,4
8646927812,28.9286232,104.679016,0,4
8646947792,28.9286232,104.244675,0,4
8646967788,28.9286232,104.283287,0,4
8646987792,28.9286232,103.235367,0,4
8647007792,28.9286232,104.958038,0,4
8647027796,28.9286232,104.08123,0,4
8647047664,28.9286232,104.08123,0,4
8647067660,28.9286232,103.545609,0,4
8647087664,28.9286232,104.210381,0,4
8647107664,28.9286232,103.190742,0,4
8647127668,28.9286232,102.89119,0,4
8647147812,28.9286232,102.304024,0,4
8647167812,28.9286232,102.362839,0,4
8647187812,28.9286232,102.868645,0,4
8647207812,28.9286232,102.255386,0,4
8647227812,28.9286232,102.231445,0,4
8647247796,28.9286232,102.427216,0,4
8647267792,28.9286232,101.594688,0,4
8647287796,28.9286232,101.476616,0,4
8647307788,28.9286232,100.903053,0,4
8647327796,28.9286232,100.441856,0,4
8647347660,28.9286232,100.441856,0,4
8647367660,28.9286232,100.40023,0,4
8647387660,28.9286232,100.773163,0,4
8647407660,28.9286232,100.341499,0,4
8647427668,28.9286232,101.440445,0,4
8647447816,28.9286232,101.3564,0,4
8647467812,28.9286232,100.981972,0,4
8647487820,28.9286232,101.373283,0,4
8647507808,28.9286232,101.046913,0,4
8647527816,28.9286232,102.188591,0,4
8647547796,28.9286232,101.588463,0,4
8647567788,28.9286232,101.137802,0,4
8647587792,28.9286232,101.526054,0,4
8647607792,28.9286232,103.362061,0,4
8647627796,28.9286232,102.049789,0,4
8647647664,28.9286232,102.049789,0,4
8647667664,28.9286232,101.532219,0,4
8647687664,28.9286232,102.116089,0,4
8647707664,28.9286232,101.764114,0,4
8647727668,28.9286232,101.634666,0,4
8647747816,28.9286232,101.353737,0,4
8647767812,28.9286232,98.6676331,0,4
8647787832,28.9286232,98.7959213,0,4
8647807816,28.9286232,98.81427,0,4
8647827820,28.9286232,98.9538116,0,4
8647847796,28.9286232,99.2687225,0,4
8647867792,28.9286232,99.1926117,0,4
8647887796,28.9286232,99.331955,0,4
8647907796,28.9286232,99.2980042,0,4
8647927800,28.9286232,99.4305496,0,4
8647947668,28.9286232,99.4305496,0,4
8647967664,28.9286232,99.5852814,0,4
8647987664,28.9286232,99.7418594,0,4
8648007664,28.9286232,99.8850555,0,4
8648027672,28.9286232,100.514328,0,4
8648047820,28.9286232,101.016098,0,4
8648067816,28.9286232,101.262764,0,4
8648087816,28.9286232,102.073776,0,4
8648107808,28.9286232,101.730705,0,4
8648127820,28.9286232,102.251175,0,4
8648147796,28.9286232,102.169556,0,4
8648167792,28.9286232,102.290962,0,4
8648187800,28.9286232,102.179565,0,4
8648207792,28.9286232,102.991844,0,4
8648227800,28.9286232,102.342209,0,4
8648247668,28.9286232,102.342209,0,4
8648267664,28.9286232,102.317963,0,4
8648287668,28.9286232,102.622826,0,4
8648307668,28.9286232,101.993134,0,4
8648327672,28.9286232,102.319405,0,4
8648347816,28.9286232,102.33416,0,4
8648367816,28.9286232,102.437927,0,4
8648387816,28.9286232,102.850586,0,4
8648407812,28.9286232,102.356888,0,4
8648427816,28.9286232,102.414818,0,4
8648447804,28.9286232,102.84404,0,4
8648467820,28.9286232,102.084534,0,4
8648487800,28.9286232,101.665977,0,4
8648507800,28.9286232,102.545113,0,4
8648527804,28.9286232,101.272835,0,4
8648547668,28.9286232,101.272835,0,4
8648567668,28.9286232,102.193527,0,4
8648587668,28.9286232,103.22641,0,4
8648607668,28.9286232,101.978966,0,4
8648627672,28.9286232,104.032516,0,4
8648647816,28.9286232,104.326706,0,4
8648667816,28.9286232,104.10614,0,4
8648687820,28.9286232,104.887459,0,4
8648707820,28.9286232,104.094849,0,4
8648727824,28.9286232,102.595078,0,4
8648747800,28.9286232,101.887413,0,4
8648767796,28.9286232,101.300354,0,4
8648787800,28.9286232,102.178658,0,4
8648807796,28.9286232,102.732491,0,4
8648827800,28.9286232,102.059647,0,4
8648847668,28.9286232,102.059647,0,4
8648867668,28.9286232,102.971466,0,4
8648887668,28.9286232,104.465027,0,4
8648907668,28.9286232,103.400864,0,4
8648927676,28.9286232,103.540489,0,4
8648947824,28.9286232,103.009949,0,4
8648967820,28.9286232,102.595932,0,4
8648987824,28.9286232,103.189064,0,4
8649007816,28.9286232,102.705444,0,4
8649027824,28.9286232,102.712234,0,4
8649047804,28.9286232,103.045326,0,4
8649067796,28.9286232,102.487762,0,4
8649087800,28.9286232,102.391693,0,4
8649107796,28.9286232,101.761742,0,4
8649127808,28.9286232,100.651306,0,4
8649147676,28.9286232,100.651306,0,4
8649167672,28.9286232,102.420853,0,4
8649187672,28.9286232,102.858002,0,4
8649207672,28.9286232,101.038681,0,4
8649227676,28.9286232,104.035408,0,4
8649247820,28.9286232,104.327354,0,4
8649267820,28.9286232,102.813469,0,4
8649287820,28.9286232,104.734932,0,4
8649307816,28.9286232,103.868134,0,4
8649327824,28.9286232,103.660233,0,4
8649347800,28.9286232,104.310341,0,4
8649367796,28.9286232,103.280754,0,4
8649387804,28.9286232,103.837769,0,4
8649407800,28.9286232,107.610458,0,4
8649427808,28.9286232,103.415604,0,4
8649447672,28.9286232,103.415604,0,4
8649467672,28.9286232,103.36293,0,4
8649487672,28.9286232,105.451492,0,4
8649507672,28.9286232,102.94455,0,4
8649527680,28.9286232,105.560066,0,4
8649547824,28.9286232,104.406723,0,4
8649567820,28.9286232,104.45018,0,4
8649587824,28.9286232,105.081261,0,4
8649607820,28.9286232,103.718925,0,4
8649627824,28.9286232,103.694382,0,4
8649647800,28.9286232,104.614983,0,4
8649667800,28.9286232,103.055893,0,4
8649687804,28.9286232,105.55484,0,4
8649707800,28.9286232,104.471199,0,4
8649727804,28.9286232,101.028038,0,4
8649747672,28.9286232,101.028038,0,4
8649767676,28.9286232,102.309875,0,4
