pressureTimestamp,pressure,temperatureTimestamp,temperature
8439786980,88397.3984,8439786980,41.1699982
8439806976,88398.2969,8439806976,41.1699982
8439826972,88405.3281,8439826972,41.1699982
8439846984,88393.7969,8439846984,41.1699982
8439866976,88391.875,8439866976,41.1699982
8439886980,88397.5781,8439886980,41.1699982
8439906976,88391.9219,8439906976,41.1699982
8439927780,88396,8439927780,41.1699982
8439946984,88399.3984,8439946984,41.1699982
8439967008,88402.6016,8439967008,41.1699982
8439986984,88399.4766,8439986984,41.1699982
8440006976,88392.5,8440006976,41.1699982
8440026984,88397.9766,8440026984,41.1699982
8440046980,88399.4766,8440046980,41.1699982
8440066980,88399.6484,8440066980,41.1699982
8440086976,88395.3984,8440086976,41.1699982
8440106972,88401.2031,8440106972,41.1699982
8440127780,88402.0781,8440127780,41.1699982
8440146980,88401.0469,8440146980,41.1699982
8440166972,88401.0469,8440166972,41.1699982
8440186980,88398.8984,8440186980,41.1699982
8440206972,88401.7031,8440206972,41.1699982
8440226980,88394.5781,8440226980,41.1699982
8440246980,88397.2266,8440246980,41.1699982
8440266984,88401.4219,8440266984,41.1699982
8440286984,88393.8516,8440286984,41.1699982
8440306980,88391.75,8440306980,41.1699982
8440327784,88398.3516,8440327784,41.1699982
8440346980,88397.6484,8440346980,41.1699982
8440366972,88399,8440366972,41.1699982
8440386976,88401,8440386976,41.1699982
8440406976,88397.5781,8440406976,41.1699982
8440426980,88397.125,8440426980,41.1699982
8440446988,88398.1719,8440446988,41.1699982
8440466976,88395.5469,8440466976,41.1699982
8440486988,88404.2969,8440486988,41.1699982
8440506980,88395.1719,8440506980,41.1699982
8440527784,88396.6484,8440527784,41.1699982
8440546984,88401.0469,8440546984,41.1699982
8440566976,88398.3516,8440566976,41.1699982
8440586976,88406.4531,8440586976,41.1699982
8440606976,88397.7969,8440606976,41.1800003
8440626980,88397.9219,8440626980,41.1699982
8440646976,88402.6016,8440646976,41.1699982
8440666992,88395.3281,8440666992,41.1699982
8440686984,88387.8984,8440686984,41.1699982
8440706980,88397.2734,8440706980,41.1800003
8440727784,88392.7266,8440727784,41.1699982
8440746988,88396.0234,8440746988,41.1800003
8440766980,88395.75,8440766980,41.1699982
8440786988,88392.8984,8440786988,41.1699982
8440806976,88402.7734,8440806976,41.1800003
8440826980,88406.9766,8440826980,41.1699982
8440846980,88400.1719,8440846980,41.1699982
8440866976,88399,8440866976,41.1699982
8440886984,88394.3281,8440886984,41.1699982
8440906984,88400.2969,8440906984,41.1699982
8440927788,88403.375,8440927788,41.1699982
8440946988,88393.8984,8440946988,41.1699982
8440966980,88398.9219,8440966980,41.1699982
8440986984,88404.9531,8440986984,41.1699982
8441006976,88397.2734,8441006976,41.1699982
8441026988,88402.3281,8441026988,41.1699982
8441046984,88392.5469,8441046984,41.1699982
8441066976,88391.5234,8441066976,41.1699982
8441086980,88395.1016,8441086980,41.1699982
8441106976,88404.0234,8441106976,41.1800003
8441127788,88400.125,8441127788,41.1699982
8441146984,88403.1719,8441146984,41.1699982
8441166980,88402.4766,8441166980,41.1699982
8441186988,88400.7734,8441186988,41.1800003
8441206984,88405.375,8441206984,41.1800003
8441226980,88395.9219,8441226980,41.1699982
8441246984,88395.5469,8441246984,41.1699982
8441266980,88403.125,8441266980,41.1699982
8441286984,88401.1719,8441286984,41.1699982
8441306980,88400.2266,8441306980,41.1800003
8441327792,88392.375,8441327792,41.1699982
8441346984,88390.4531,8441346984,41.1800003
8441367020,88397.3984,8441367020,41.1699982
8441386992,88397.0469,8441386992,41.1800003
8441406984,88394.875,8441406984,41.1800003
8441426992,88403.8516,8441426992,41.1800003
8441446988,88397.1016,8441446988,41.1800003
8441466984,88399.2734,8441466984,41.1699982
8441486992,88399.3516,8441486992,41.1800003
8441506984,88398.75,8441506984,41.1800003
8441527788,88397.875,8441527788,41.1800003
8441546992,88399.75,8441546992,41.1699982
8441566984,88398.5234,8441566984,41.1699982
8441586988,88396.3984,8441586988,41.1699982
8441606980,88401.6484,8441606980,41.1800003
8441626988,88402.1719,8441626988,41.1800003
8441646984,88395.4531,8441646984,41.1800003
8441666984,88396.5,8441666984,41.1800003
8441686992,88397.1484,8441686992,41.1699982
8441706980,88396.0234,8441706980,41.1800003
8441727788,88397.5781,8441727788,41.1800003
8441746992,88399.9219,8441746992,41.1800003
8441766988,88396.0234,8441766988,41.1800003
