timestamp,threadId,minimumStack
8450405,1,14684
8450521,4,16204
8450365,5,16228
8450422,6,15580
8450440,7,16180
8448675,8,16180
1946726,0,14148
8451405,1,14684
8451521,4,16204
8451063,5,16228
8451124,6,15580
8451501,7,16180
8450675,8,16180
1946726,0,14148
8452405,1,14684
8452521,4,16204
8452453,5,16228
8452516,6,15580
8452564,7,16180
8450675,8,16180
1946726,0,14148
8453405,1,14684
8453521,4,16204
8453144,5,16228
8453206,6,15580
8453413,7,16180
8452675,8,16180
1946726,0,14148
8454405,1,14684
8454521,4,16204
8454544,5,16228
8453904,6,15580
8454475,7,16180
8452675,8,16180
1946726,0,14148
8455405,1,14684
8455521,4,16204
8455244,5,16228
8455300,6,15580
8455535,7,16180
8454675,8,16180
1946726,0,14148
8456405,1,14684
8456521,4,16204
8455943,5,16228
8456002,6,15580
8456384,7,16180
8454675,8,16180
1946726,0,14148
8457405,1,14684
8457521,4,16204
8457333,5,16228
8457394,6,15580
8457445,7,16180
8456675,8,16180
1946726,0,14148
8458405,1,14684
8458521,4,16204
8458024,5,16228
8458082,6,15580
8458506,7,16180
8456675,8,16180
1946726,0,14148
8459405,1,14684
8459521,4,16204
8459424,5,16228
8459484,6,15580
8459353,7,16180
8458675,8,16180
1946726,0,14148
8460405,1,14684
8460521,4,16204
8460124,5,16228
8460185,6,15580
8460415,7,16180
8458675,8,16180
1946726,0,14148
8461405,1,14684
8461521,4,16204
8461524,5,16228
8460888,6,15580
8461475,7,16180
8460675,8,16180
1946726,0,14148
8462405,1,14684
8462521,4,16204
8462223,5,16228
8462284,6,15580
8462535,7,16180
8460675,8,16180
1946726,0,14148
8463405,1,14684
8463521,4,16204
8462913,5,16228
8462974,6,15580
8463382,7,16180
8462675,8,16180
1946726,0,14148
8464405,1,14684
8464521,4,16204
8464304,5,16228
8464366,6,15580
8464445,7,16180
8462675,8,16180
1946726,0,14148
8465405,1,14684
8465521,4,16204
8465004,5,16228
8465099,6,15580
8465506,7,16180
8464675,8,16180
1946726,0,14148
8466405,1,14684
8466521,4,16204
8466404,5,16228
8466464,6,15580
8466353,7,16180
8464675,8,16180
1946726,0,14148
8467405,1,14684
8467521,4,16204
8467104,5,16228
8467162,6,15580
8467417,7,16180
8466675,8,16180
1946726,0,14148
8468405,1,14684
8468521,4,16204
8468503,5,16228
8468566,6,15580
8468479,7,16180
8466675,8,16180
1946726,0,14148
8469405,1,14684
8469521,4,16204
8469193,5,16228
8469253,6,15580
8469540,7,16180
8468675,8,16180
1946726,0,14148
8470405,1,14684
8470521,4,16204
8469884,5,16228
8469944,6,15580
8470387,7,16180
8468675,8,16180
1946726,0,14148
8471405,1,14684
8471521,4,16204
8471284,5,16228
8471348,6,15580
8471447,7,16180
8470675,8,16180
1946726,0,14148
8472405,1,14684
8472521,4,16204
8471984,5,16228
8472046,6,15580
8472508,7,16180
8470675,8,16180
1946726,0,14148
8473405,1,14684
8473521,4,16204
8473384,5,16228
8473478,6,15580
8473356,7,16180
8472675,8,16180
1946726,0,14148
8474405,1,14684
8474521,4,16204
8474083,5,16228
8474146,6,15580
8474419,7,16180
8472675,8,16180
1946726,0,14148
8475405,1,14684
8475521,4,16204
8475473,5,16228
8475534,6,15580
8475479,7,16180
8474675,8,16180
1946726,0,14148
8476405,1,14684
8476521,4,16204
8476165,5,16228
