Z,Vz
294.706651543117,129.814963124154
297.37341873341,129.572487514194
299.813707774462,129.223466301442
301.900206016339,128.703504850501
304.211877610849,128.30038083014
305.971249028333,127.628227628842
308.966303685965,127.573002373617
312.074010329283,127.573051147344
314.772618365776,127.372180019358
317.055447522788,126.969042687798
318.718757197443,126.26299580784
321.014404456831,125.87650883289
323.020809744447,125.35173244961
324.695943303787,124.668735590542
326.906994645954,124.261238602301
328.831150433728,123.71747850698
330.953057961834,123.279282636903
332.78955684524,122.704650386445
334.042637118082,121.846987682724
336.467791766629,121.584272477401
338.642341603915,121.200582273191
340.83574384939,120.832121683298
342.10643484766,120.010894705086
343.753806169523,119.386012922265
346.423886087727,119.279118674333
348.911317441466,119.084479489456
352.104790283596,119.243811064216
355.830995871591,119.666777780865
359.523989921403,120.070417511548
